Participant,Positive Lie,Negative Lie,Positive Truth,Negative Truth
BF001,108.393125,102.247879,97.817188,108.040294
BF002,98.1925,95.2988,95.72875,86.177812
BF003,104.186364,104.69,94.5904,100.325417
BF004,114.225758,110.179697,102.27087,98.79697
BF006,111.942593,103.869667,93.334074,113.068214
BF008,93.832059,101.655407,103.090957,97.338134
BF013,101.014828,103.921,104.99913,100.974194
BF014,104.147857,98.732258,98.529677,102.263226
BF015,112.90075,110.480294,109.920882,94.529063
BF016,104.365152,100.084242,111.530606,100.142778
BF018,105.221429,113.019429,105.584839,99.259706
BF019,101.933571,102.21935,96.87459,101.920676
BF020,97.128261,105.279643,115.736667,103.2675
BF022,106.098611,91.577742,96.310909,98.385667
BF023,88.5076,93.182857,87.3236,92.922571
BF024,87.376818,97.662941,98.246364,89.636667
BF025,102.474615,115.597097,98.831389,112.642903
BF027,101.461579,100.499688,101.157586,98.403871
BF028,103.054412,103.998788,96.614545,104.003714
BF033,102.606774,101.443226,99.722121,110.455882
BM003,103.139286,98.376,95.965333,105.421379
BM004,112.97,99.1525,106.149,104.723793
BM005,102.440312,101.881333,95.118438,103.661
BM006,101.569667,102.196154,107.2508,95.588462
BM007,105.297826,91.311818,106.918929,94.388333
BM008,107.8175,100.085333,104.949375,101.667692
BM009,108.995,103.576667,98.674828,108.662424
BM010,98.038125,94.249333,102.746765,110.131875
BM012,95.712,111.184688,100.012222,103.675172
BM013,107.043548,94.410323,99.339655,98.551333
BM014,115.714,108.634138,96.787241,92.49037
BM015,104.739259,107.239355,98.777273,99.859143
BM016,106.704839,98.012059,99.809375,96.646452
BM017,108.52,98.681724,104.142812,107.114062
BM018,101.055625,102.524667,92.852941,107.464706
BM020,101.600294,95.160303,93.952115,98.613438
BM021,99.125263,98.0225,104.726429,105.293438
BM024,110.762647,101.433235,109.623235,100.864483
BM026,103.785556,107.115484,103.186452,106.720571
BM027,110.226471,95.517353,97.227353,95.247647
WF002,105.097419,98.032143,97.309286,111.099032
WF003,93.0692,102.515517,91.216818,105.782424
WF005,105.662258,97.78,99.634667,98.859688
WF006,89.963158,86.652857,89.926875,97.872188
WF007,104.866061,103.287059,107.070357,109.76
WF009,100.758,92.802812,100.873235,110.217368
WF010,96.551538,101.93,111.708667,105.304643
WF011,98.281429,105.089706,105.12375,103.257419
WF012,100.683226,111.035625,111.515946,104.201765
WF013,99.618276,98.366897,97.045758,89.704
WF014,108.550645,103.7175,112.288667,99.768438
WF016,105.691379,97.481111,106.875161,107.7
WF017,97.664,92.990286,101.593226,90.967576
WF018,106.034828,105.887778,107.594815,103.59697
WF019,101.801471,97.144848,95.987857,94.940968
WF021,103.865882,109.834839,96.233611,98.992727
WF022,109.136286,107.755143,106.194828,107.673214
WF023,106.713333,102.205429,109.122727,96.172432
WF024,100.986129,103.188056,112.444286,98.678387
WF025,95.704,102.424444,113.4644,102.545526
WM001,105.986154,103.893043,97.734074,96.597619
WM002,100.03,102.988519,105.178148,100.145185
WM005,109.508125,97.432,107.550385,110.563929
WM006,104.085357,102.4856,107.128333,105.425294
WM007,100.011667,99.874333,103.277333,95.639
WM008,109.574,103.020625,104.343871,100.952069
WM009,102.301667,105.472759,94.695,99.471613
WM011,101.954242,113.092424,97.840625,103.383125
WM013,97.710645,108.487241,99.834483,106.395
WM014,103.444375,97.344074,105.395172,109.385333
WM016,106.304444,94.115484,93.3812,94.628276
WM017,103.184571,101.727742,100.303438,114.663548
WM018,114.28125,93.647714,109.439714,108.411471
WM019,96.598387,99.414062,95.121739,95.124706
WM020,104.608387,106.002667,101.415143,102.812121
WM021,100.976471,104.969394,99.873529,95.123548
WM022,98.445263,104.464359,101.295714,103.854062
WM024,104.9125,106.608378,100.983939,96.648966
WM026,106.870857,99.99,102.042222,94.619737
WM027,97.202703,94.451053,100.648857,95.876
