Participant,Positive Lie,Negative Lie,Positive Truth,Negative Truth
BF001,1.852812,1.854545,1.852812,1.876765
BF002,1.852812,1.9952,1.852812,1.852812
BF003,1.854545,1.852812,1.9952,2.0275
BF004,1.854545,1.854545,2.046957,1.854545
BF006,1.93,1.877333,1.93,1.910714
BF008,1.876765,1.523721,1.605826,1.400048
BF013,1.882759,1.877333,2.046957,1.872903
BF014,1.910714,1.872903,1.872903,1.872903
BF015,1.6285,1.876765,1.876765,1.852812
BF016,1.854545,1.854545,1.854545,1.837222
BF018,1.852,1.852,1.872903,1.876765
BF019,1.910714,1.628293,1.69918,1.655135
BF020,2.046957,1.910714,1.877333,1.837222
BF022,1.837222,1.872903,1.854545,1.877333
BF023,1.9952,1.910714,1.9952,1.852
BF024,2.068636,1.876765,1.854545,1.854545
BF025,1.955385,1.872903,1.837222,1.872903
BF027,2.047368,1.852812,1.882759,1.872903
BF028,1.876765,1.854545,1.854545,1.852
BF033,1.872903,1.872903,1.854545,1.876765
BM003,1.910714,1.877333,1.877333,1.882759
BM004,1.876765,1.852812,1.877333,1.882759
BM005,1.852812,1.877333,1.852812,1.877333
BM006,1.877333,1.955385,1.9952,1.955385
BM007,2.046957,1.854545,1.910714,1.877333
BM008,1.852812,1.877333,1.852812,1.955385
BM009,1.876765,1.93,1.882759,1.854545
BM010,1.852812,1.877333,1.876765,1.852812
BM012,1.877333,1.852812,1.93,1.882759
BM013,1.872903,1.872903,1.882759,1.877333
BM014,1.9952,1.882759,1.882759,1.93
BM015,1.93,1.872903,1.854545,1.852
BM016,1.872903,1.876765,1.852812,1.872903
BM017,1.852812,1.882759,1.852812,1.852812
BM018,1.852812,1.877333,1.876765,1.876765
BM020,1.876765,1.854545,1.701538,1.852812
BM021,1.818684,1.852812,1.910714,1.852812
BM024,1.876765,1.876765,1.876765,1.882759
BM026,1.837222,1.872903,1.872903,1.852
BM027,1.876765,1.876765,1.876765,1.876765
WF002,1.872903,1.910714,1.910714,1.872903
WF003,1.9952,1.882759,2.068636,1.854545
WF005,1.872903,1.854545,1.877333,1.852812
WF006,1.818684,1.852,1.852812,1.852812
WF007,1.854545,1.876765,1.910714,1.852812
WF009,1.877333,1.852812,1.876765,1.818684
WF010,1.955385,1.876765,1.877333,1.910714
WF011,1.910714,1.876765,1.852812,1.872903
WF012,1.872903,1.852812,1.824054,1.876765
WF013,1.882759,1.882759,1.854545,1.877333
WF014,1.872903,1.910714,1.877333,1.852812
WF016,1.882759,1.837222,1.872903,1.877333
WF017,1.877333,1.852,1.872903,1.854545
WF018,1.882759,1.93,1.93,1.854545
WF019,1.876765,1.854545,1.910714,1.872903
WF021,1.876765,1.872903,1.837222,1.854545
WF022,1.852,1.852,1.882759,1.910714
WF023,1.854545,1.852,2.068636,1.824054
WF024,1.872903,1.837222,1.852,1.872903
WF025,1.877333,1.837222,1.9952,1.818684
WM001,1.955385,2.046957,1.93,2.039524
WM002,1.910714,1.93,1.93,1.93
WM005,1.852812,2.0065,1.955385,1.910714
WM006,1.910714,1.9952,1.877333,1.876765
WM007,2.0275,1.877333,1.877333,1.877333
WM008,1.877333,1.852812,1.872903,1.882759
WM009,1.877333,1.882759,1.955385,1.872903
WM011,1.854545,1.854545,1.852812,1.852812
WM013,1.872903,1.882759,1.882759,1.910714
WM014,1.852812,1.93,1.882759,1.877333
WM016,1.93,1.872903,1.9952,1.882759
WM017,1.852,1.872903,1.852812,1.872903
WM018,1.852812,1.852,1.852,1.876765
WM019,1.872903,1.852812,2.046957,1.876765
WM020,1.872903,1.877333,1.852,1.854545
WM021,1.876765,1.854545,1.876765,1.872903
WM022,1.818684,1.8,1.852,1.852812
WM024,1.852812,1.824054,1.854545,1.882759
WM026,1.852,1.876765,1.837222,1.818684
WM027,1.824054,1.818684,1.852,1.852
